name,website,description,logo,country,country_code,advertising,data,e_commerce,media,network_communications,publishing,smart_cities,web_of_things,filename_prefix,about_link,llm_sector
Centre For Accessibility Australia,https://www.accessibility.org.au,"The Centre for Accessibility Australia (CFA Australia) is an award-winning not-for-profit organisation that promotes accessibility throughout Australia. We support the continuing development of web standards that incorporate digital accessibility, so that people with disability can have equal access to technology and the internet.",https://www.w3.org/thumbnails/120/logos/organizations/140697.png?x-version=1,Australia,AU,,,,,,,,,www-accessibility-org-au,https://www.accessibility.org.au/about/,Nonprofit organization
Intopia,http://intopia.digital/,,,Australia,AU,,,,,,,,,intopia-digital,http://intopia.digital/about-us,Nonprofit organization
KurrawongAI,https://kurrawong.ai,"KurrawongAI is a Semantic Web & AI consulting, development and operations company that works within the W3C to improve and promote the use of Internet standards. KurrawongAI staff have previously edited W3C Recommendations and are currently involved in standards Working Groups.",https://www.w3.org/thumbnails/120/logos/organizations/157522.png?x-version=1,Australia,AU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,kurrawong-ai,,Small/medium enterprise
Pyx Industries,https://pyx.io,,,Australia,AU,,,,,,,,,pyx-io,https://pyx.io/howwehelp.html,Nonprofit organization
Universities Admissions Centre,https://www.uac.edu.au/,,,Australia,AU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-uac-edu-au,https://www.uac.edu.au/about,Nonprofit organization
Vision Australia,http://www.visionaustralia.org.au,Vision Australia is a leading national provider of blindness and low vision services in Australia. We work in partnership with Australians who are blind or have low vision to help them achieve the possibilities they choose in life.,https://www.w3.org/thumbnails/120/logos/organizations/33727.png?x-version=3,Australia,AU,,,,,,,,,www-visionaustralia-org-au,http://www.visionaustralia.org.au/about-us/careers,Nonprofit organization
Danube Tech GmbH,https://danubetech.com/,"Commitment to the open W3C standardization work around Decentralized Identifiers and Verifiable Credentials is essential for Danube Tech's business objectives, as well as important for humanity and the web as a whole.",https://www.w3.org/thumbnails/120/logos/organizations/117162.png?x-version=4,Austria,AT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,danubetech-com,,Large enterprise
Fabasoft,https://www.fabasoft.com/en,"Fabasoft is one of the leading software companies and cloud service providers for digital documents, process and file management in Europe.
We focus on accessibility and ease of use in all our products. Our commitment to accessibility and usability, to data protection and information security, provides the basis for our cooperation with W3C.",https://www.w3.org/thumbnails/120/logos/organizations/89490.png?x-version=1,Austria,AT,,,,,,,,,www-fabasoft-com,https://www.fabasoft.com/en/about-us,Large enterprise
WU (Wirschaftsuniversität Wien) - Vienna University of Economics and Business,https://www.wu.ac.at/,,https://www.w3.org/thumbnails/120/logos/organizations/68381.png?x-version=1,Austria,AT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,www-wu-ac-at,,Academia
Digitaal Vlaanderen,https://www.vlaanderen.be/digitaal-vlaanderen,,https://www.w3.org/thumbnails/120/logos/organizations/72870.png?x-version=2,Belgium,BE,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,www-vlaanderen-be,,Government
GS1,http://www.gs1.org/,,,Belgium,BE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-gs1-org,,Nonprofit organization
IAB Europe,https://iabeurope.eu,,,Belgium,BE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iabeurope-eu,https://iabeurope.eu/about-us,Nonprofit organization
imec,https://www.imec-int.com/,"Flanders' research institute imec is devoted to Open Standards and Open Source since we joined the W3C Consortium back in 2000. Since then, a.o., we’ve been leading & contributing to the Media Fragments, Provenance, Solid, and Knowledge Construction WGs.",https://www.w3.org/thumbnails/120/logos/organizations/38525.png?x-version=3,Belgium,BE,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,www-imec-int-com,https://www.imec-int.com/en/about-us,Academia
ISO 20022 Registration Authority,http://www.iso20022.org/,,,Belgium,BE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,www-iso20022-org,,Nonprofit organization
VITO,https://vito.be/en,,,Belgium,BE,,,,,,,,,vito-be,https://vito.be/en/about-vito,Nonprofit organization
NIC.br - Brazilian Network Information Center,http://www.cgi.br,,,Brazil,BR,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,www-cgi-br,http://www.cgi.br/about/,Nonprofit organization
Ontotext,https://www.ontotext.com,"Ontotext is a global leader in enterprise knowledge graph technology and developer of GraphDB - an enterprise-ready semantic database engine. We combine data and content together in big knowledge graphs to allow better interlinking, interpreting, analyzing and reuse.",,Bulgaria,BG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-ontotext-com,https://www.ontotext.com/about-us/,Small/Medium Enterprise
QualiBooth,https://qualibooth.com/,"At QualiBooth, our goal is to make the internet accessible to all. As W3C members, we support and contribute to the development of open web standards, which guide us in creating innovative, inclusive digital solutions",https://www.w3.org/thumbnails/120/logos/organizations/155185.png?x-version=1,Bulgaria,BG,,,,,,,,,qualibooth-com,https://qualibooth.com/about-us,Small/Medium Enterprise
1Password,https://1password.com/,,https://www.w3.org/thumbnails/120/logos/organizations/131682.png?x-version=1,Canada,CA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1password-com,https://1password.com/company,Small/Medium Enterprise
Common Approach to Impact Measurement,https://www.commonapproach.org,"The Common Approach to Impact Measurement is working towards better impact measurement for social purpose organizations. At the W3C, we are keen to advance topics such as impact measurement and data ontologies, interoperability, ethics and governance, with a view to also publishing our own Common Impact Data Standard with the community.",https://www.w3.org/thumbnails/120/logos/organizations/135646.png?x-version=2,Canada,CA,,,,,,,,,www-commonapproach-org,https://www.commonapproach.org,Technical community
Crawford Technologies,http://www.crawfordtech.com,"Crawford Technologies helps businesses and governments of all sizes build a culture of inclusivity by providing the necessary software and services tailored to meet their document accessibility needs. Being a W3C member enables us to support the mission of W3C, stay informed and contribute to the development of emerging accessibility web standards.",https://www.w3.org/thumbnails/120/logos/organizations/128554.png?x-version=4,Canada,CA,,,,,,,,,www-crawfordtech-com,https://crawfordtech.com/about-us/,Large enterprise
eBOUND Canada,https://www.eboundcanada.org/,,,Canada,CA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,www-eboundcanada-org,https://www.eboundcanada.org/about-us/,Nonprofit organization
GrackleDocs,https://www.grackledocs.com/,,,Canada,CA,,,,,,,,,www-grackledocs-com,https://www.grackledocs.com/en/about-grackledocs/,Nonprofit organization
Mavennet Systems Inc.,https://www.mavennet.com,,,Canada,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-mavennet-com,https://www.mavennet.com/about,Small/medium enterprise
Natural Resources Canada,https://www.nrcan.gc.ca/,"Natural Resources Canada - 
Ressources naturelles Canada",https://www.w3.org/thumbnails/120/logos/organizations/80863.png?x-version=1,Canada,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-nrcan-gc-ca,https://www.nrcan.gc.ca/about,Government
Shopify,https://www.shopify.com,,https://www.w3.org/thumbnails/120/logos/organizations/79706.png?x-version=1,Canada,CA,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,www-shopify-com,https://www.shopify.com/about,Large enterprise
Thomson Reuters Corp.,https://www.thomsonreuters.com/,,,Canada,CA,,,,,,,,,www-thomsonreuters-com,https://www.thomsonreuters.com/en/about-us,Large enterprise
360,https://www.360.cn/,,,China,CN,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,www-360-cn,http://www.360.cn/about/index.html,Large enterprise
Alibaba Group,http://www.alibabagroup.com/en/global/home,,,China,CN,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,www-alibabagroup-com,http://www.alibabagroup.com/en-US/about-alibaba,Large enterprise
"Ant Group Co., Ltd.",https://www.antgroup.com/,,,China,CN,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,www-antgroup-com,,Large enterprise
"Baidu, Inc.",http://www.baidu.com/,,,China,CN,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,www-baidu-com,http://ir.baidu.com,Large enterprise
Beihang University,http://www.buaa.edu.cn,,,China,CN,,,,,,,,,www-buaa-edu-cn,,Academia
"Beijing Haitai Fangyuan Technologies Co,.Ltd.",http://www.haitaichina.com/,,,China,CN,,,,,,,,,www-haitaichina-com,,Large enterprise
ByteDance,https://bytedance.com/,,,China,CN,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,bytedance-com,,Large enterprise
China Academy of Information and Communications Technology (CAICT),http://www.caict.ac.cn/english/,,,China,CN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-caict-ac-cn,,Government
China Electronics Standardization Institute（中国电子技术标准化研究院）,http://www.cesi.cn/page/index.html,,,China,CN,,,,,,,,,www-cesi-cn,,Nonprofit organization
China Mobile Communications Corporation,http://www.chinamobileltd.com/en/global/home.php,,,China,CN,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,www-chinamobileltd-com,http://www.chinamobileltd.com/en/about/awards.php,Large enterprise
Chinese Academy of Sciences,http://www.cas.cn,,,China,CN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-cas-cn,,Academia
DappWorks Technology Inc.,https://www.dappworks.cn,,,China,CN,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,www-dappworks-cn,,Large enterprise
Dingdao,http://www.dingdao.com,,,China,CN,,,,,,,,,www-dingdao-com,,Large enterprise
ESWIN,http://www.eswincomputing.com,,,China,CN,,,,,,,,,www-eswincomputing-com,https://www.eswincomputing.com/about.html,Small/medium enterprise
Finogeeks,https://www.finogeeks.com/,,,China,CN,,,,,,,,,www-finogeeks-com,https://www.finogeeks.com/about.html,Small/Medium Enterprise
Huawei,http://www.huawei.com,,https://www.w3.org/thumbnails/120/logos/organizations/49753.png?x-version=2,China,CN,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,www-huawei-com,http://www.huawei.com/en/about-huawei,Large enterprise
InclusionX 融合加科技,http://inclusionx.cn,,,China,CN,,,,,,,,,inclusionx-cn,,Large enterprise
"Jiangsu TPBlock Technology Co., Ltd. （江苏第三极区块链科技有限公司）",https://tpblock.cn,"As a leading domestic blockchain technology and software application product development company, Disanji with full-service capabilities is the world's leading blockchain solution provider, including various blockchain technology research and development for various government departments and institutions.",https://www.w3.org/thumbnails/120/logos/organizations/131154.png?x-version=3,China,CN,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tpblock-cn,https://tpblock.cn/about-us.html,Large enterprise
Loongson(He Fei) Technology Corporation Limited,https://www.loongson.cn,,,China,CN,,,,,,,,,www-loongson-cn,,Large enterprise
Memect Technology Co. Ltd. 北京文因互联科技有限公司,http://www.memect.cn,,,China,CN,,,,,,,,,www-memect-cn,http://www.memect.cn/aboutus/,Small/medium enterprise
Nanjing Institute of digital Financial Industry Co.Ltd,http://www.yzjdigitalfinance.com,,,China,CN,,,,,,,,,www-yzjdigitalfinance-com,,Large enterprise
Nanjing University,http://www.nju.edu.cn,,,China,CN,,,,,,,,,www-nju-edu-cn,,Academia
Shenzhen Accessibility Research Association,http://www.siaa.org.cn/,"The Accessibility Research Association (ARA), founded in 2005, Shenzhen, is the earliest professional organization dedicated to accessibility in China. In accelerating the process of China’s accessibility, ARA has pioneered in creating a one-step solution for accessibility that adapts to the domestic internet environment.",https://www.w3.org/thumbnails/120/logos/organizations/129545.png?x-version=4,China,CN,,,,,,,,,www-siaa-org-cn,http://www.siaa.org.cn/about-us,Nonprofit organization
Shenzhen Institute of Information Technology,http://www.sziit.edu.cn,,,China,CN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,www-sziit-edu-cn,,Academia
Tencent,http://www.tencent.com,,,China,CN,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,www-tencent-com,https://www.tencent.com/zh-cn/about.html,Large enterprise
Zhejiang University,http://www.zju.edu.cn,,,China,CN,,,,,,,,,www-zju-edu-cn,,Academia
ZIIOT,http://www.ziiot.org.cn/,,,China,CN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,www-ziiot-org-cn,,Nonprofit organization
Instituto Tecnológico de Costa Rica,https://www.tec.ac.cr/,,,Costa Rica,CR,,,,,,,,,www-tec-ac-cr,,Academia
Agency for Digitisation,https://en.digst.dk/,,,Denmark,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,en-digst-dk,,Government
Criipto,http://criipto.com,,,Denmark,DK,,,,,,,,,criipto-com,https://www.criipto.com/about,Small/medium enterprise
Siteimprove,http://siteimprove.com,"Siteimprove is a SaaS solution that helps organizations achieve their digital potential by empowering teams with actionable insights to deliver a superior website experience and drive growth. Siteimprove has 550 employees across 13 offices, helping over 7,200 customers globally.",https://www.w3.org/thumbnails/120/logos/organizations/75253.png?x-version=3,Denmark,DK,,,,,,,,,siteimprove-com,http://siteimprove.com/about-us/,Large enterprise
Aalto University,http://www.hut.fi,,,Finland,FI,,,,,,,,,www-hut-fi,http://www.hut.fi/en/news/what-should-decision-makers-know-about-green-hydrogen,Academia
Tampere University,http://www.tut.fi/,,,Finland,FI,,,,,,,,,www-tut-fi,,Academia
Traficom - Finnish Transport and Communications Agency,https://www.traficom.fi/en,,,Finland,FI,,,,,,,,,www-traficom-fi,https://www.traficom.fi/en/about-site,Government
CANTON CONSULTING,https://canton.consulting,,https://www.w3.org/thumbnails/120/logos/organizations/69906.png?x-version=1,France,FR,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,canton-consulting,,Small/Medium Enterprise
Criteo,https://www.criteo.com/,,,France,FR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,www-criteo-com,https://www.criteo.com/solutions/addressability/,Large enterprise
EDRLab,https://www.edrlab.org,"The European Digital Reading Laboratory is a non-profit organization focused on the deployment of open, interoperable and accessible digital publishing technologies. EDRLab is participating in the evolution of EPUB 3, the W3C Audiobooks standard, and it incubates Divina, a future standard format for digital comics.",https://www.w3.org/thumbnails/120/logos/organizations/91879.png?x-version=3,France,FR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,www-edrlab-org,https://www.edrlab.org/about/,Nonprofit organization
ERCIM,https://www.ercim.eu/,,https://www.w3.org/thumbnails/120/logos/organizations/1205.png?x-version=2,France,FR,,,,,,,,,www-ercim-eu,https://www.ercim.eu/about/legal,Academia
FIME,https://www.fime.com/,,https://www.w3.org/thumbnails/120/logos/organizations/102258.png?x-version=1,France,FR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,www-fime-com,https://www.fime.com/service,Large enterprise
Institut Mines-Télécom,https://www.imt.fr/,,,France,FR,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,www-imt-fr,,Academia
Institut National de Recherche en Informatique et en Automatique (Inria),https://www.inria.fr/,"Inria is a founding member of W3C. Inria is the french national research institute dedicated to digital sciences, addressing scientific and technological challenges in IT and playing an active role in technology transfer. Inria was also the European host of W3C until 2002 and actively contributes to W3C groups and activities.",https://www.w3.org/thumbnails/120/logos/organizations/10894.png?x-version=3,France,FR,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,www-inria-fr,,Academia
Startin'blox,https://startinblox.com/,,,France,FR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,startinblox-com,,Technical community
Université Côte d'Azur,https://univ-cotedazur.eu/,Université Côte d'Azur is a group of higher education institutions recently created on the Côte d'Azur. It brings together the main actors of higher education and research on the Côte d'Azur.,,France,FR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,univ-cotedazur-eu,https://univ-cotedazur.eu/about-us,Academia
Datagraph GmbH,https://dydra.com/,,,Germany,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,dydra-com,https://dydra.com/about,Small/medium enterprise
eyeo GmbH,https://eyeo.com,,,Germany,DE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,eyeo-com,https://eyeo.com/about,Small/medium enterprise
Forschungszentrum Informatik (FZI),http://www.fzi.de,,,Germany,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,www-fzi-de,,Academia
