id,name,description,shortname,spec-publisher,type,call,homepage,users,participations,chairs,start-date,end-date
138124,Accessibility at the Edge Community Group,"The mission of the Accessibility at the Edge Community Group is to examine improvements to internet accessibility via ""edge computing"", a relatively new paradigm that focuses on performing tasks at the edge of the network. Unlike cloud computing, edge computing emphasizes activities that occur closer to the user; these could include accessibility oriented user-agent extensions, applications on content delivery networks, JavaScript-enabled capabilities, AI or ML. The group is a forum for discussing both currently available products, potentially new applications not yet commercially available, as well as objective measures of the quality of any one of these. Our tasks can include inventorying both opportunities and challenges, drafting and incubating Internet specifications for further assessment, standardization, prototyping and testing of reference implementations. A11Y-EDGE CG meetings work and operate under the <a href=""https://www.w3.org/Consortium/cepc/"">W3C Code of Ethics and Professional Conduct</a>.",a11yedge,True,community group,https://api.w3.org/groups/cg/a11yedge,https://www.w3.org/community/a11yedge/,https://api.w3.org/groups/cg/a11yedge/users,https://api.w3.org/groups/cg/a11yedge/participations,https://api.w3.org/groups/cg/a11yedge/chairs,,
134546,Accessibility Discoverability Vocabulary for Schema.org Community Group,"The primary objective of this group is to maintain and develop the vocabularies for the accessibility discoverability properties in schema.org, that enable discovery of accessible content. This community group is a successor to the Accessibility Metadata Project that first proposed the properties, which were based on the Access for All metadata. The group may also propose additional properties in the future, if needed.",a11y-discov-vocab,True,community group,https://api.w3.org/groups/cg/a11y-discov-vocab,https://www.w3.org/community/a11y-discov-vocab/,https://api.w3.org/groups/cg/a11y-discov-vocab/users,https://api.w3.org/groups/cg/a11y-discov-vocab/participations,https://api.w3.org/groups/cg/a11y-discov-vocab/chairs,,
35532,Accessibility Education and Outreach Working Group (EOWG),"The mission of the Accessibility Education and Outreach Working Group is to develop strategies and resources to promote awareness, understanding, implementation, and conformance testing for W3C accessibility standards; and to support the accessibility work of other W3C Groups.",eowg,,working group,https://api.w3.org/groups/wg/eowg,https://www.w3.org/WAI/about/groups/eowg/,https://api.w3.org/groups/wg/eowg/users,https://api.w3.org/groups/wg/eowg/participations,https://api.w3.org/groups/wg/eowg/chairs,1998-03-10,2024-06-30
119612,Accessibility for Children Community Group,"<p>The mission of this group is to discuss accessibility adapted for children (age appropriate, literacy relevant).</p>

<p>The Community Group welcomes <a rel=""nofollow"" href=""https://www.w3.org/community/accessibility4children/2022/01/13/invitation-to-sponsor-accommodations/"">meeting accommodation sponsorship</a> through funding or complimentary services. Many thanks to Patricia Lessard, <a rel=""nofollow"" href=""http://www.thingsentertainment.net"">Things Entertainment, LLC</a> and <a rel=""nofollow"" href=""https://dspa.org"">Deaf Services of Palo Alto</a> for your donations.</p>",accessibility4children,True,community group,https://api.w3.org/groups/cg/accessibility4children,https://www.w3.org/community/accessibility4children/,https://api.w3.org/groups/cg/accessibility4children/users,https://api.w3.org/groups/cg/accessibility4children/participations,https://api.w3.org/groups/cg/accessibility4children/chairs,,
35422,Accessibility Guidelines Working Group,The mission of the Accessibility Guidelines Working Group (AG WG) is to develop specifications to make content on the Web accessible for people with disabilities and to participate in the development and maintenance of implementation support materials for the Web Content Accessibility Guidelines.,ag,,working group,https://api.w3.org/groups/wg/ag,https://www.w3.org/WAI/GL/,https://api.w3.org/groups/wg/ag/users,https://api.w3.org/groups/wg/ag/participations,https://api.w3.org/groups/wg/ag/chairs,1997-10-06,2025-10-31
154193,Accessibility Internationalization Community Group,"The mission of the Accessibility Internationalization Community Group is to improve the internationalization of:
<ul>
<li>The Cognitive and Learning Disabilities Accessibility (COGA) Task Force</li>
<li>The Accessibility Guidelines Working Group (AG)</li>
</ul>

Scope
The Accessibility Internationalization Community Group will include the following efforts:
<ul>
<li>Improve the internationalization of COGA  and AG publications.</li>
<li>Develop criteria and tests for easy-to-understand language in different languages.</li>
<li>Develop criteria and tests for text appearance and semantics in different writing systems</li>
<li>Develop criteria and tests for additional guidance that changes based on additional language, writing system, or culture.</li>
</ul>

The community group’s initial focus is to help internationalize two accessibility resources that are currently in development:
<ul>
<li>The next version of Making Content Usable for People with Cognitive and Learning Disabilities </li>
<li>WCAG 3.0, with two guidelines as the top priorities: “Clear Language” and “Text Appearance and Semantics,” which will have tests and criteria in different languages.</li>
</ul>",global-inclusion,True,community group,https://api.w3.org/groups/cg/global-inclusion,https://www.w3.org/community/global-inclusion/,https://api.w3.org/groups/cg/global-inclusion/users,https://api.w3.org/groups/cg/global-inclusion/participations,https://api.w3.org/groups/cg/global-inclusion/chairs,,
83907,Accessible Platform Architectures Working Group,"The mission of the Accessible Platform Architectures Working Group (APA WG, formerly part of the Protocols and Formats Working Group) is to ensure W3C specifications provide support for accessibility to people with disabilities. The group advances this mission through review of W3C specifications, development of technical support materials, collaboration with other Working Groups, and coordination of harmonized accessibility strategies within W3C.",apa,,working group,https://api.w3.org/groups/wg/apa,https://www.w3.org/WAI/APA/,https://api.w3.org/groups/wg/apa/users,https://api.w3.org/groups/wg/apa/participations,https://api.w3.org/groups/wg/apa/chairs,2015-10-22,2025-07-31
83726,Accessible Rich Internet Applications Working Group,"The mission of the Accessible Rich Internet Applications Working Group is to enhance the accessibility of web content through the development of supplemental attributes, including roles, states, and other properties, that can be applied to native host language elements and exposed via platform accessibility APIs.",aria,,working group,https://api.w3.org/groups/wg/aria,https://www.w3.org/WAI/ARIA/,https://api.w3.org/groups/wg/aria/users,https://api.w3.org/groups/wg/aria/participations,https://api.w3.org/groups/wg/aria/chairs,2015-10-22,2024-12-31
114156,ACT Rules Community Group,"The ACT Rules Community Group (previously known as Auto-WCAG), is an open forum set up to document and harmonise the interpretation of W3C accessibility standards, such as WCAG and WAI-ARIA, for testing purposes.

The ACT Rules Community Group (ACT-R) achieves this by bringing together the people developing, implementing and using various accessibility testing tools and methodologies to document interpretations as test rules. Test rules are defined using the ACT Rules Format, and reviewed by the community. The process of researching, documenting, and sharing knowledge from different perspectives within the group, builds towards a common understanding. Publishing rules is not an end point for harmonization, it's a starting point. By publishing such test rules, ACT-R hopes to motivate organisations to share their own insights, and encourage adoption of commonly agreed test rules.

ACT-R is not set up to remove differences or impose changes on accessibility testing tools and methodologies. There is value in innovation and diverse approaches. Rather it aims to contribute to more consistent results, regardless of how the testing is done. Knowing when something meets a requirement, and when it does not, should be clear and consistent. 

This group will not publish specifications.",act-r,False,community group,https://api.w3.org/groups/cg/act-r,https://www.w3.org/community/act-r/,https://api.w3.org/groups/cg/act-r/users,https://api.w3.org/groups/cg/act-r/participations,https://api.w3.org/groups/cg/act-r/chairs,,
156781,Advancing Accessibility Resources Community Group,"Our goal is to engage and empower accessibility professionals to advance the W3C WAI mission through community driven initiatives.
This work could include:

<ul>
<li>Creating and maintaining a repository of community-built resources that complement WAI</li>
<li>Being a group of active participants that are continually contributing to resources</li>
<li>Vetting and highlighting external resources that relate to and support this group's resources</li>
<li>Being available to W3C Working Groups and Task Forces to assist in writing specifications and resources</li>
</ul>

This group will not publish Specifications.",adva11yresources,False,community group,https://api.w3.org/groups/cg/adva11yresources,https://www.w3.org/community/adva11yresources/,https://api.w3.org/groups/cg/adva11yresources/users,https://api.w3.org/groups/cg/adva11yresources/participations,https://api.w3.org/groups/cg/adva11yresources/chairs,,
